case_id,workload_profile,query_index,step_id,seed,oracle_enabled,num_blocks,block_size,summary_dim,shortlist_m,semantic_k,keep_recent_blocks,keep_anchor_blocks,confidence_margin,normalized_margin_threshold,selector_latency_sec,stage_a_candidate_count,stage_a_shortlist_size,stage_b_refinement_count,final_selected_block_count,semantic_selected_block_count,rail_preserved_block_count,selected_to_semantic_k_ratio,fallback_mode,fallback_action,fallback_reason_code,raw_margin,normalized_margin,selected_mass,normalized_mass,is_confident,trace_size_bytes,oracle_recall_rate,oracle_precision_rate,oracle_overlap_count,oracle_missed_important_count,oracle_extra_selected_count,oracle_missed_important_block_ids,oracle_extra_selected_block_ids
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,0,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:0,41,True,128,32,32,16,10,4,2,0.0,,0.018219042976852506,128,16,16,15,10,5,1.5,sparse,keep_sparse,confident,0.004880321025848344,0.008105451108958512,6.547970271110534,,True,49977,1.0,0.6666666666666666,10,0,5,(),"(12, 91, 29, 13, 7)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,1,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:1,41,True,128,32,32,16,10,4,2,0.0,,0.0031798729905858636,128,16,16,15,10,5,1.5,sparse,keep_sparse,confident,0.00983009338378904,0.0165895946710055,6.443652385473252,,True,49903,0.9,0.6,9,1,6,"(98,)","(42, 24, 62, 113, 110, 61)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,2,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:2,41,True,128,32,32,16,10,4,2,0.0,,0.004102257022168487,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.010994088649749711,0.017936240250334145,6.789164304733276,,True,49906,0.9,0.6428571428571429,9,1,5,"(55,)","(121, 78, 91, 90, 47)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,3,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:3,41,True,128,32,32,16,10,4,2,0.0,,0.0030344760161824524,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0028468966484069824,0.004716109706646977,6.644748032093048,,True,49883,0.9,0.6428571428571429,9,1,5,"(115,)","(95, 91, 30, 90, 41)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,4,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:4,41,True,128,32,32,16,10,4,2,0.0,,0.002930266025941819,128,16,16,15,10,5,1.5,sparse,keep_sparse,confident,0.0015270769596099631,0.0025485418736726773,6.638769507408142,,True,49918,0.8,0.5333333333333333,8,2,7,"(6, 2)","(121, 76, 95, 1, 68, 70, 49)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,5,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:5,41,True,128,32,32,16,10,4,2,0.0,,0.0032451400184072554,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.006332707405090288,0.010235059605900059,6.769307696819306,,True,49900,1.0,0.7142857142857143,10,0,4,(),"(106, 9, 42, 49)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,6,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:6,41,True,128,32,32,16,10,4,2,0.0,,0.0030400429968722165,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.008157545328140281,0.013031192562225855,6.827325487136841,,True,49908,0.9,0.6428571428571429,9,1,5,"(64,)","(121, 91, 77, 63, 45)"
default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0,default,7,default-candidate-default-b128-m16-k10-c0-q8-s41-oracle-i0:7,41,True,128,32,32,16,10,4,2,0.0,,0.0029239130089990795,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.002322024106979459,0.003833501546966624,6.581922340393066,,True,49938,0.8,0.5714285714285714,8,2,6,"(64, 13)","(95, 80, 70, 111, 73, 47)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,0,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:0,41,True,256,32,32,16,10,4,2,0.0,,0.004074551980011165,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.024689543247222945,0.03818620112559481,6.698890638351441,,True,93356,0.9,0.6428571428571429,9,1,5,"(111,)","(141, 29, 30, 117, 70)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,1,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:1,41,True,256,32,32,16,10,4,2,0.0,,0.00688188400818035,256,16,16,15,10,5,1.5,sparse,keep_sparse,confident,0.022569012641906805,0.03494920610992795,6.725931859016418,,True,93380,1.0,0.6666666666666666,10,0,5,(),"(185, 62, 153, 12, 226)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,2,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:2,41,True,256,32,32,16,10,4,2,0.0,,0.004827721975743771,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.006898629665374689,0.010691946583555859,6.84822279214859,,True,93389,0.9,0.6428571428571429,9,1,5,"(202,)","(243, 206, 95, 30, 153)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,3,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:3,41,True,256,32,32,16,10,4,2,0.0,,0.006701743986923248,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0059022784233092596,0.009257764453291266,6.790548098087311,,True,93333,0.9,0.6428571428571429,9,1,5,"(177,)","(86, 153, 30, 171, 90)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,4,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:4,41,True,256,32,32,16,10,4,2,0.0,,0.00424577301600948,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.002943909168243386,0.0045698296461482634,6.74409202337265,,True,93409,1.0,0.7142857142857143,10,0,4,(),"(205, 246, 175, 146)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,5,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:5,41,True,256,32,32,16,10,4,2,0.0,,0.004169761028606445,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.00041109323501586914,0.0006371810644088894,6.996104955673218,,True,93342,0.9,0.6428571428571429,9,1,5,"(98,)","(43, 173, 90, 146, 175)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,6,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:6,41,True,256,32,32,16,10,4,2,0.0,,0.00465604302007705,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.02176115512847898,0.03362163203138338,6.9128659725189205,,True,93346,1.0,0.7142857142857143,10,0,4,(),"(45, 174, 186, 73)"
default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1,default,7,default-candidate-default-b256-m16-k10-c0-q8-s41-oracle-i1:7,41,True,256,32,32,16,10,4,2,0.0,,0.004014002974145114,256,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.02534064054489138,0.04057743183566713,6.750419306755066,,True,93360,0.9,0.6428571428571429,9,1,5,"(219,)","(91, 30, 179, 20, 188)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,0,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:0,41,True,512,32,32,16,10,4,2,0.0,,0.01274904899764806,512,16,16,15,10,5,1.5,sparse,keep_sparse,confident,0.019393849372863703,0.029948292578564063,6.846397256851196,,True,179964,0.9,0.6,9,1,6,"(332,)","(191, 450, 462, 30, 343, 483)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,1,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:1,41,True,512,32,32,16,10,4,2,0.0,,0.0064873299561440945,512,16,16,15,10,5,1.5,sparse,keep_sparse,confident,0.003128862380981423,0.004722735678667671,6.8499960064888,,True,179985,1.0,0.6666666666666666,10,0,5,(),"(362, 153, 140, 370, 117)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,2,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:2,41,True,512,32,32,16,10,4,2,0.0,,0.00631808495381847,512,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.00044804811477661133,0.0006908932421504987,6.8719986319541935,,True,179909,0.6,0.42857142857142855,6,4,8,"(448, 13, 307, 148)","(186, 119, 11, 95, 206, 373, 462, 153)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,3,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:3,41,True,512,32,32,16,10,4,2,0.0,,0.006604732014238834,512,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0004162311553955744,0.0006403271808546058,6.867156660556793,,True,179919,0.9,0.6428571428571429,9,1,5,"(64,)","(268, 61, 153, 408, 29)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,4,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:4,41,True,512,32,32,16,10,4,2,0.0,,0.0063074660138227046,512,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.004244315624236994,0.006358068516791604,7.103854787349701,,True,179932,0.9,0.6428571428571429,9,1,5,"(22,)","(173, 29, 365, 30, 66)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,5,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:5,41,True,512,32,32,16,10,4,2,0.0,,0.007141979003790766,512,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0028100848197937234,0.004268586664793107,7.137455439567566,,True,179885,0.9,0.6428571428571429,9,1,5,"(288,)","(70, 462, 275, 90, 370)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,6,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:6,41,True,512,32,32,16,10,4,2,0.0,,0.010833912994712591,512,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.001497542858123757,0.0023280851112171186,7.0359359145164495,,True,179929,1.0,0.7142857142857143,10,0,4,(),"(101, 346, 246, 355)"
default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2,default,7,default-candidate-default-b512-m16-k10-c0-q8-s41-oracle-i2:7,41,True,512,32,32,16,10,4,2,0.0,,0.0063262940384447575,512,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.006259334087371782,0.009695492645015102,6.9620337843894955,,True,179920,0.9,0.6428571428571429,9,1,5,"(263,)","(12, 35, 91, 506, 30)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,0,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:0,41,True,128,32,32,16,10,4,2,0.0,,0.00367364299017936,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.00235670804977417,0.002452968201333009,9.741180562973023,,True,49629,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,1,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:1,41,True,128,32,32,16,10,4,2,0.0,,0.0036674870061688125,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0023740530014038086,0.0024790808646177613,9.722536659240722,,True,49740,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,2,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:2,41,True,128,32,32,16,10,4,2,0.0,,0.0031000689486972988,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0023679137229919434,0.002464571176712601,9.741320037841797,,True,49621,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,3,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:3,41,True,128,32,32,16,10,4,2,0.0,,0.00300350395264104,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0024335384368896484,0.002532767980413195,9.741477274894715,,True,49614,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,4,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:4,41,True,128,32,32,16,10,4,2,0.0,,0.0033837619703263044,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0024065375328063965,0.0025047046262474484,9.741510951519013,,True,49600,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,5,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:5,41,True,128,32,32,16,10,4,2,0.0,,0.003014056012034416,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.0023983120918273926,0.002496131111543183,9.741313064098359,,True,49640,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,6,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:6,41,True,128,32,32,16,10,4,2,0.0,,0.0030498270061798394,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.002395153045654297,0.002492869508566857,9.74143590927124,,True,49637,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3,low_confidence,7,default-candidate-low_confidence-b128-m16-k10-c0-q8-s41-oracle-i3:7,41,True,128,32,32,16,10,4,2,0.0,,0.003948823956307024,128,16,16,14,10,4,1.4,sparse,keep_sparse,confident,0.002442777156829834,0.00254238152420211,9.741394066810608,,True,49602,0.7,0.5,7,3,7,"(103, 34, 66)","(100, 82, 22, 11, 25, 20, 32)"
